Round Number,Question Type,Question,A,B,C,D,Correct Answer
1,Multiple Choice,What does “vibe coding” usually mean?,Writing code as fast as possible,Building software by describing intent to AI and iterating,Coding without debugging,Copy-pasting code from StackOverflow,B
1,Multiple Choice,"You prompt an AI to build a feature, but the UI looks wrong. What’s the best next step?",Rewrite everything manually,Delete the project,Give the AI a more specific prompt describing the UI,Wait and hope it fixes itself,C
1,Multiple Choice,Where do the 'pages' of a website live so they can be shared with people over the internet?,Server,Router,Browser,Baking drawer next to the wisk,A
1,Multiple Choice,Which problem does Git help you solve? ,Help with brainstorming ideas,Writing code for you,Crippling social anxiety,Multiple people working on a project concurrently,D
1,Multiple Choice,Which of the following would not necessarily require a database to build?,A website that streams CSPAN news 24-7,A user login system,A trivia game for an EdTech course that tracks students answers,A site that stores historical weather data around the world,A
2,Multiple Choice,What type of programming language is Scratch?,Text-based,Voice-based,Block-based,Spreadsheet-based,C
2,Multiple Choice,"In Scratch, what are the characters or objects in a project called?",Actors,Sprites,Avatars,Blocks,B
2,Multiple Choice,Which Scratch block starts many programs?,When flag clicked,Start program,Begin game,Run code,A
2,Multiple Choice,Which Scratch block lets you repeat commands over and over?,list,variable,repeat,glide,C
2,Multiple Choice,Which Scratch blocks allow you to tell other commands to run at particular times?,send & get,confide in & pretend you hear but you're too busy doomsrolling,speak & listen,broadcast & receive,
3,Prompt Writing,Create a to-do list application that allows users to save and track multiple lists.,"Rubric: Evaluate the quality of a user-written prompt whose goal is to instruct an AI to create the following application: Create a to-do list application that allows users to save and track multiple lists.\n\nScoring Method:\nEvaluate the prompt across five criteria. Each criterion receives a score from 0 to 5.\nScore meanings: 0-1 = missing or very weak, 2-3 = partially specified, 4-5 = clear and well described.\nTotal Raw Score Range: 0-25.\nFinal Score Calculation: Final Score = (Raw Score / 25) * 20. Round to the nearest whole number.\n\nCriterion 1: Task Clarity\nEvaluate whether the prompt clearly states the goal of creating a to-do list application that supports multiple lists and allows tasks to be tracked within those lists.\nScore guidance: 0-1 vague goal (example: make a to-do app). 2-3 mentions to-do lists but lacks clarity or detail. 4-5 clearly describes a multi-list to-do system and the purpose of the application.\n\nCriterion 2: Feature Specification\nEvaluate whether the prompt describes actions users should be able to perform. Relevant features may include creating lists, adding tasks, editing tasks, deleting tasks, marking tasks complete, or deleting lists.\nScore guidance: 0-1 few or no features described. 2-3 some basic functionality mentioned. 4-5 clearly specifies multiple core features for managing lists and tasks.\n\nCriterion 3: User Interaction and UX Description\nEvaluate whether the prompt explains how users interact with the application. Examples include layout ideas, navigation between lists, task display, or interface controls such as buttons.\nScore guidance: 0-1 no description of interaction or interface. 2-3 basic UI elements mentioned. 4-5 clear description of user workflow or layout.\n\nCriterion 4: Data and Persistence\nEvaluate whether the prompt specifies that tasks and lists should be saved so they persist between sessions or page refreshes.\nScore guidance: 0-1 no mention of saving data. 2-3 vague reference to storing data. 4-5 clearly states that lists and tasks should persist or be stored.\n\nCriterion 5: Structure and Organization\nEvaluate whether the prompt is organized in a way that helps an AI interpret it effectively. Well-structured prompts may use bullet points, sections, logical ordering, or concise wording.\nScore guidance: 0-1 disorganized or unclear prompt. 2-3 moderately structured. 4-5 well organized and easy to interpret.\n\nOutput Expectations:\nReturn a score for each criterion, a raw score out of 25, and a final score out of 20 using the formula above.",,,,
4,Coding,"Question 1: Write a program to count the number of prime numbers between 1,000 and 9,000. Submit the answer below.",949,,,,
4,Coding,"Question 2: Write a program to compute the following: You put $1,000 in the bank. Each month, it earns 1% interest. How much money will you have in the bank after 31 years?","$40,508.96",,,,
